sim result, 0
total time, 2099.406250
total energy, 73895.875000
map,x,slope,radius,vi,ft,fslope,faero,ftyres,fres,ftot,a,dt,dE,TmotorCase,Twindings
1,0.000000,0.000000,0.008800,0.000000,15.153790,0.000000,0.000000,0.784893,0.850031,14.303760,0.164411,3.487784,80.575836,25.000000,25.110666
1,1.000000,-0.000035,0.009976,0.573430,15.989776,-0.028422,0.008374,0.783957,0.829047,15.160728,0.174261,1.432214,18.961060,25.001272,25.173298
1,2.000000,-0.000070,0.011152,0.823009,16.353630,-0.056844,0.017353,0.785277,0.810925,15.542706,0.178652,1.086846,19.485611,25.002768,25.226397
1,3.000000,-0.000105,0.012328,1.017177,16.636700,-0.085266,0.026687,0.787136,0.793696,15.843004,0.182103,0.909129,19.733664,25.004393,25.274420
1,4.000000,-0.000140,0.013504,1.182732,16.878057,-0.113688,0.036353,0.789391,0.777195,16.100863,0.185067,0.795936,19.911381,25.006107,25.319149
1,5.000000,-0.000175,0.014680,1.330034,17.092804,-0.142110,0.046355,0.792013,0.761397,16.331408,0.187717,0.715712,20.061865,25.007893,25.361515
1,6.000000,-0.000209,0.015856,1.464386,17.288671,-0.170532,0.056706,0.795014,0.746327,16.542345,0.190142,0.655025,20.198793,25.009737,25.402079
1,7.000000,-0.000244,0.017032,1.588933,17.470243,-0.198954,0.067426,0.798424,0.732035,16.738209,0.192393,0.607043,20.327639,25.011633,25.441206
1,8.000000,-0.000279,0.018208,1.705724,17.640511,-0.227376,0.078541,0.802288,0.718592,16.921919,0.194505,0.567875,20.450998,25.013573,25.479156
1,9.000000,-0.000314,0.019384,1.816179,17.801538,-0.255798,0.090082,0.806659,0.706081,17.095457,0.196500,0.535116,20.570208,25.015553,25.516117
1,10.000000,-0.000349,0.020560,1.921329,17.954834,-0.284220,0.102081,0.811599,0.694599,17.260235,0.198394,0.507192,20.686085,25.017569,25.552233
1,11.000000,-0.000389,0.022343,2.021952,18.101530,-0.316687,0.115413,0.817859,0.681723,17.419807,0.200228,0.483020,20.799101,25.019619,25.587614
1,12.000000,-0.000429,0.024126,2.118666,18.242525,-0.349154,0.129639,0.825151,0.670775,17.571751,0.201974,0.461829,20.909647,25.021700,25.622351
1,13.000000,-0.000469,0.025910,2.211944,18.378511,-0.381621,0.144880,0.833620,0.662018,17.716494,0.203638,0.443055,21.018045,25.023809,25.656515
1,14.000000,-0.000509,0.027693,2.302166,18.510044,-0.414088,0.161270,0.843427,0.655747,17.854298,0.205222,0.426275,21.124481,25.025948,25.690168
1,15.000000,-0.000548,0.029476,2.389647,18.637579,-0.446555,0.178958,0.854741,0.652282,17.985298,0.206728,0.411159,21.229034,25.028111,25.723360
1,16.000000,-0.000588,0.031259,2.474645,18.761496,-0.479023,0.198109,0.867741,0.651966,18.109529,0.208156,0.397454,21.331892,25.030298,25.756132
1,17.000000,-0.000628,0.033042,2.557377,18.882109,-0.511490,0.218906,0.882621,0.655175,18.226934,0.209505,0.384956,21.433170,25.032509,25.788523
1,18.000000,-0.000668,0.034826,2.638027,18.999685,-0.543957,0.241547,0.899571,0.662300,18.337385,0.210775,0.373499,21.532923,25.034742,25.820562
1,19.000000,-0.000708,0.036609,2.716751,19.114454,-0.576424,0.266251,0.918810,0.673775,18.440680,0.211962,0.362948,21.631165,25.036997,25.852280
1,20.000000,-0.000748,0.038392,2.793682,19.226608,-0.608891,0.293256,0.940537,0.690040,18.536568,0.213064,0.353194,21.728073,25.039272,25.883699
1,21.000000,-0.000768,0.040009,2.868935,19.336319,-0.625062,0.321508,0.964028,0.725613,18.610706,0.213916,0.344146,21.823814,25.041569,25.914843
1,22.000000,-0.000788,0.041627,2.942554,19.443644,-0.641232,0.352203,0.990204,0.766313,18.677330,0.214682,0.335729,21.918186,25.043884,25.945728
1,23.000000,-0.000807,0.043244,3.014628,19.548719,-0.657403,0.385579,1.019267,0.812582,18.736137,0.215358,0.327876,22.011181,25.046219,25.976374
1,24.000000,-0.000827,0.044862,3.085239,19.651661,-0.673573,0.421891,1.051403,0.864859,18.786802,0.215940,0.320529,22.102974,25.048573,26.006794
1,25.000000,-0.000847,0.046479,3.154454,19.752567,-0.689744,0.461411,1.086816,0.923622,18.828945,0.216425,0.313637,22.193348,25.050943,26.037004
1,26.000000,-0.000867,0.048097,3.222333,19.851524,-0.705914,0.504428,1.125705,0.989357,18.862167,0.216807,0.307160,22.282610,25.053333,26.067017
1,27.000000,-0.000887,0.049714,3.288927,19.948610,-0.722084,0.551249,1.168253,1.062556,18.886055,0.217081,0.301059,22.370602,25.055740,26.096842
1,28.000000,-0.000907,0.051332,3.354281,20.043888,-0.738255,0.602200,1.214653,1.143737,18.900150,0.217243,0.295302,22.457399,25.058165,26.126492
1,29.000000,-0.000927,0.052949,3.418434,20.137413,-0.754425,0.657625,1.265088,1.233426,18.903988,0.217287,0.289861,22.542986,25.060604,26.155973
1,30.000000,-0.000946,0.054567,3.481417,20.229235,-0.770596,0.717885,1.319707,1.332135,18.897100,0.217208,0.284711,22.627474,25.063061,26.185297
1,31.000000,-0.000962,0.055699,3.543258,20.319391,-0.783169,0.771150,1.371490,1.424610,18.894781,0.217181,0.279826,22.710577,25.065535,26.214472
1,32.000000,-0.000977,0.056831,3.604031,20.407991,-0.795742,0.827714,1.426711,1.523821,18.884171,0.217059,0.275187,22.792633,25.068024,26.243504
1,33.000000,-0.000993,0.057963,3.663763,20.495073,-0.808315,0.887755,1.485484,1.630062,18.865011,0.216839,0.270774,22.873573,25.070530,26.272400
1,34.000000,-0.001008,0.059096,3.722477,20.580669,-0.820889,0.951455,1.547880,1.743585,18.837084,0.216518,0.266572,22.953411,25.073051,26.301167
1,35.000000,-0.001024,0.060228,3.780195,20.664814,-0.833462,1.019005,1.613992,1.864673,18.800140,0.216094,0.262566,23.032133,25.075588,26.329809
1,36.000000,-0.001039,0.061360,3.836934,20.747530,-0.846035,1.090597,1.683889,1.993589,18.753941,0.215563,0.258744,23.109783,25.078140,26.358334
1,37.000000,-0.001055,0.062492,3.892709,20.828844,-0.858608,1.166431,1.757629,2.130590,18.698254,0.214922,0.255094,23.186388,25.080708,26.386744
1,38.000000,-0.001070,0.063625,3.947535,20.908773,-0.871181,1.246710,1.835278,2.275945,18.632828,0.214170,0.251605,23.261930,25.083290,26.415045
1,39.000000,-0.001085,0.064757,4.001421,20.987333,-0.883755,1.331641,1.916862,2.429886,18.557447,0.213304,0.248268,23.336351,25.085888,26.443243
1,40.000000,-0.001101,0.065889,4.054378,21.064537,-0.896328,1.421436,2.002400,2.592647,18.471889,0.212321,0.245074,23.409735,25.088501,26.471340
1,41.000000,-0.001112,0.066312,4.106412,21.140396,-0.905252,1.479610,2.072618,2.712114,18.428282,0.211819,0.242012,23.481749,25.091129,26.499342
1,42.000000,-0.001123,0.066736,4.157675,21.215130,-0.914177,1.539130,2.145067,2.835158,18.379971,0.211264,0.239067,23.552698,25.093773,26.527250
1,43.000000,-0.001134,0.067159,4.208181,21.288761,-0.923101,1.600009,2.219738,2.961784,18.326977,0.210655,0.236236,23.622789,25.096432,26.555069
1,44.000000,-0.001145,0.067582,4.257945,21.361311,-0.932025,1.662267,2.296645,3.092025,18.269287,0.209992,0.233510,23.691973,25.099106,26.582800
1,45.000000,-0.001156,0.068006,4.306980,21.432798,-0.940949,1.725917,2.375760,3.225866,18.206932,0.209275,0.230886,23.760326,25.101795,26.610447
1,46.000000,-0.001167,0.068429,4.355299,21.503239,-0.949874,1.790977,2.457105,3.363346,18.139893,0.208505,0.228358,23.827843,25.104498,26.638014
1,47.000000,-0.001178,0.068852,4.402913,21.572653,-0.958798,1.857461,2.540655,3.504457,18.068195,0.207680,0.225919,23.894417,25.107216,26.665503
1,48.000000,-0.001189,0.069276,4.449831,21.641056,-0.967722,1.925384,2.626406,3.649207,17.991850,0.206803,0.223567,23.960234,25.109947,26.692915
1,49.000000,-0.001199,0.069699,4.496066,21.708458,-0.976646,1.994761,2.714330,3.797584,17.910873,0.205872,0.221296,24.025076,25.112694,26.720255
1,50.000000,-0.001210,0.070122,4.541624,21.774876,-0.985571,2.065606,2.804426,3.949600,17.825275,0.204888,0.219102,24.089106,25.115456,26.747522
1,51.000000,-0.001220,0.070419,4.586515,21.840322,-0.993021,2.128496,2.891327,4.091940,17.748383,0.204004,0.216983,24.152243,25.118231,26.774721
1,52.000000,-0.001229,0.070715,4.630781,21.904856,-1.000470,2.192295,2.980016,4.236979,17.667877,0.203079,0.214934,24.214668,25.121021,26.801853
1,53.000000,-0.001238,0.071011,4.674429,21.968489,-1.007920,2.257007,3.070445,4.384670,17.583818,0.202113,0.212950,24.276257,25.123825,26.828918
1,54.000000,-0.001247,0.071308,4.717469,22.031235,-1.015370,2.322631,3.162625,4.535025,17.496210,0.201106,0.211029,24.337105,25.126644,26.855921
1,55.000000,-0.001256,0.071604,4.759909,22.093105,-1.022820,2.389168,3.256525,4.688012,17.405094,0.200059,0.209169,24.397125,25.129477,26.882862
1,56.000000,-0.001265,0.071900,4.801755,22.154114,-1.030270,2.456620,3.352104,4.843594,17.310520,0.198971,0.207366,24.456383,25.132324,26.909742
1,57.000000,-0.001274,0.072197,4.843015,22.214264,-1.037720,2.524987,3.449332,5.001738,17.212526,0.197845,0.205620,24.514914,25.135185,26.936563
1,58.000000,-0.001284,0.072493,4.883696,22.273571,-1.045169,2.594269,3.548193,5.162431,17.111139,0.196680,0.203926,24.572676,25.138060,26.963327
1,59.000000,-0.001293,0.072789,4.923804,22.332045,-1.052619,2.664465,3.648646,5.325631,17.006414,0.195476,0.202282,24.629675,25.140949,26.990036
1,60.000000,-0.001302,0.073086,4.963346,22.389690,-1.060069,2.735576,3.750672,5.491317,16.898373,0.194234,0.200688,24.685940,25.143852,27.016689
1,61.000000,-0.001312,0.072693,5.002326,22.446520,-1.068208,2.740905,3.814335,5.552170,16.894350,0.194188,0.199138,24.741034,25.146769,27.043289
2,62.000000,-0.001322,0.072300,5.040996,13.023196,-1.076346,2.745579,3.877645,5.612017,7.411180,0.085186,0.198043,14.659881,25.149706,27.060057
2,63.000000,-0.001332,0.071908,5.057867,13.037953,-1.084485,2.726392,3.891935,5.598981,7.438972,0.085505,0.197382,14.673764,25.152655,27.076799
2,64.000000,-0.001342,0.071515,5.074744,13.052715,-1.092623,2.707296,3.905895,5.585706,7.467009,0.085828,0.196728,14.687840,25.155613,27.093517
2,65.000000,-0.001352,0.071123,5.091629,13.067486,-1.100761,2.688293,3.919566,5.572236,7.495250,0.086152,0.196074,14.701628,25.158581,27.110212
2,66.000000,-0.001362,0.070730,5.108521,13.082261,-1.108900,2.669387,3.932950,5.558576,7.523685,0.086479,0.195428,14.715720,25.161560,27.126883
2,67.000000,-0.001372,0.070338,5.125422,13.097045,-1.117038,2.650580,3.945992,5.544672,7.552372,0.086809,0.194784,14.729700,25.164549,27.143530
2,68.000000,-0.001382,0.069945,5.142331,13.111835,-1.125177,2.631875,3.958738,5.530575,7.581261,0.087141,0.194146,14.743825,25.167547,27.160154
2,69.000000,-0.001392,0.069552,5.159249,13.126635,-1.133315,2.613276,3.971155,5.516253,7.610381,0.087476,0.193510,14.757856,25.170555,27.176756
2,70.000000,-0.001402,0.069160,5.176176,13.141441,-1.141454,2.594783,3.983269,5.501737,7.639705,0.087813,0.192877,14.771786,25.173573,27.193335
2,71.000000,-0.001414,0.067805,5.193113,13.156255,-1.151350,2.491781,3.929519,5.335089,7.821166,0.089898,0.192242,14.785311,25.176600,27.209890
2,72.000000,-0.001426,0.066450,5.210395,13.171373,-1.161246,2.393499,3.874330,5.171721,7.999652,0.091950,0.191601,14.799395,25.179636,27.226425
2,73.000000,-0.001438,0.065096,5.228013,13.186783,-1.171142,2.299784,3.817719,5.011499,8.175283,0.093969,0.190949,14.813471,25.182682,27.242937
