generation, lastChange, bestEnergy, bestTime, bestFitness, %invalid, fitnessInverseSum, validCount, deltaInv, dtInv, negVelInv, endVelInv, timeInv, notRun,fitnessMin, fitnessMax, fitnessMedian, fitnessAvg, fitnessStd,lengthMin, lengthMax, lengthMedian, lengthAvg, lengthStd,genotypeSimMin, genotypeSimMax, genotypeSimMedian, genotypeSimAvg, genotypeSimStd,genotypeAbsSimMin, genotypeAbsSimMax, genotypeAbsSimMedian, genotypeAbsSimAvg, genotypeAbsSimStd,fenotypeSimMin, fenotypeSimMax, fenotypeSimMedian, fenotypeSimAvg, fenotypeSimStd,fitnessSimMin, fitnessSimMax, fitnessSimMedian, fitnessSimAvg, fitnessSimStd,fitnessAbsSimMin, fitnessAbsSimMax, fitnessAbsSimMedian, fitnessAbsSimAvg, fitnessAbsSimStd,
1,  1,  73895.875000,  2099.406250,  73895.875000,  0.240000,   0.000865,76, 4, 0, 0, 16, 4, 0, 73895.875000,100433.031250,87250.500000,88333.726562,6504.703613,16.000000,31.000000,23.000000,23.440001,3.299447,-8.000000,7.000000,-1.000000,-0.560000,3.299454,0.000000,8.000000,1.000000,2.760000,1.892723,0.000000,61.453369,45.630436,41.438148,9.884354,0.000000,26537.156250,13354.628906,14437.838867,6504.901367,0.000000,26537.156250,13354.628906,14437.838867,6504.901367,
2,  2,  73895.875000,  2099.406250,  73895.875000,  0.310000,   0.000785,69, 3, 1, 0, 20, 7, 0, 73895.875000,100553.312500,87808.078125,88292.257812,5856.218750,17.000000,29.000000,24.000000,22.750000,2.892662,-7.000000,5.000000,0.000000,-1.250000,2.892663,0.000000,7.000000,0.000000,2.630000,1.735828,0.000000,58.258270,50.118362,43.996342,9.613261,0.000000,26657.437500,13912.203125,14396.405273,5855.911133,0.000000,26657.437500,13912.203125,14396.405273,5855.911133,
3,  3,  73895.875000,  2099.406250,  73895.875000,  0.240000,   0.000858,76, 3, 0, 0, 16, 5, 0, 73895.875000,100451.000000,86673.671875,89059.085938,6349.561035,17.000000,30.000000,23.000000,22.850000,2.913329,-7.000000,6.000000,-1.000000,-1.150000,2.913332,0.000000,7.000000,1.000000,2.510000,1.873473,0.000000,64.600494,36.822712,44.673195,10.039692,0.000000,26555.125000,12777.796875,15163.211914,6349.584961,0.000000,26555.125000,12777.796875,15163.211914,6349.584961,
4,  4,  73895.875000,  2099.406250,  73895.875000,  0.190000,   0.000919,81, 4, 0, 0, 13, 2, 0, 73895.875000,100746.125000,86957.070312,88602.914062,6202.059082,13.000000,29.000000,24.500000,22.820000,3.044280,-11.000000,5.000000,0.500000,-1.180000,3.044273,0.000000,11.000000,0.500000,2.540000,2.051439,0.000000,65.483116,28.401524,43.710384,10.521555,0.000000,26850.250000,13061.195312,14707.045898,6201.873047,0.000000,26850.250000,13061.195312,14707.045898,6201.873047,
5,  5,  73895.875000,  2099.406250,  73895.875000,  0.160000,   0.000943,84, 7, 0, 0, 8, 1, 0, 73895.875000,100057.218750,87881.312500,89552.312500,6350.569336,15.000000,32.000000,21.000000,23.080000,3.084414,-9.000000,8.000000,-3.000000,-0.920000,3.084412,0.000000,9.000000,3.000000,2.540000,1.976967,0.000000,62.002449,45.727661,43.431049,9.520658,0.000000,26161.343750,13985.433594,15656.449219,6350.308105,0.000000,26161.343750,13985.433594,15656.449219,6350.308105,
6,  6,  73895.875000,  2099.406250,  73895.875000,  0.250000,   0.000844,75, 8, 0, 0, 14, 3, 0, 73895.875000,100429.078125,87625.710938,89233.640625,6073.343750,15.000000,31.000000,23.500000,23.080000,3.419591,-9.000000,7.000000,-0.500000,-0.920000,3.419590,0.000000,9.000000,0.500000,2.740000,2.243301,0.000000,65.470024,45.730633,42.748604,10.147058,0.000000,26533.203125,13729.835938,15337.773438,6073.304199,0.000000,26533.203125,13729.835938,15337.773438,6073.304199,
7,  7,  73895.875000,  2099.406250,  73895.875000,  0.280000,   0.000797,72, 7, 1, 0, 15, 5, 0, 73895.875000,100429.078125,90491.031250,90914.023438,6839.434082,13.000000,33.000000,22.500000,22.570000,3.505014,-11.000000,9.000000,-1.500000,-1.430000,3.505011,0.000000,11.000000,1.500000,2.930000,2.396894,0.000000,66.238029,34.190590,42.672802,10.133683,0.000000,26533.203125,16595.156250,17018.132812,6839.616211,0.000000,26533.203125,16595.156250,17018.132812,6839.616211,
8,  8,  73895.875000,  2099.406250,  73895.875000,  0.280000,   0.000792,72, 5, 2, 0, 14, 7, 0, 73895.875000,100317.046875,90165.078125,91373.601562,6568.891602,13.000000,31.000000,18.500000,22.379999,3.270420,-11.000000,7.000000,-5.500000,-1.620000,3.270413,0.000000,11.000000,5.500000,2.860000,2.267245,0.000000,59.348709,34.029282,41.841740,9.211796,0.000000,26421.171875,16269.207031,17477.755859,6568.416504,0.000000,26421.171875,16269.207031,17477.755859,6568.416504,
9,  9,  73895.875000,  2099.406250,  73895.875000,  0.310000,   0.000764,69, 10, 1, 0, 18, 2, 0, 73895.875000,100711.453125,90387.101562,90969.265625,7309.041016,14.000000,33.000000,24.500000,22.150000,3.881688,-10.000000,9.000000,0.500000,-1.850000,3.881688,0.000000,10.000000,3.500000,3.470000,2.539508,0.000000,59.342377,29.404036,41.298248,9.450077,0.000000,26815.578125,16491.226562,17073.388672,7309.049805,0.000000,26815.578125,16491.226562,17073.388672,7309.049805,
10,  10,  73895.875000,  2099.406250,  73895.875000,  0.260000,   0.000820,74, 7, 0, 0, 15, 4, 0, 73895.875000,100499.343750,89183.593750,90855.421875,7267.170898,15.000000,31.000000,25.000000,21.950001,3.556331,-9.000000,7.000000,1.000000,-2.050000,3.556333,0.000000,9.000000,2.000000,3.270000,2.481351,0.000000,58.912384,29.369629,42.883896,9.120484,0.000000,26603.468750,15287.718750,16959.537109,7267.333984,0.000000,26603.468750,15287.718750,16959.537109,7267.333984,
11,  11,  73895.875000,  2099.406250,  73895.875000,  0.340000,   0.000733,66, 12, 0, 0, 13, 9, 0, 73895.875000,100361.312500,88822.656250,90608.804688,7086.681641,10.000000,31.000000,26.000000,21.930000,3.899369,-14.000000,7.000000,2.000000,-2.070000,3.899372,0.000000,14.000000,2.000000,3.510000,2.677667,0.000000,62.366306,45.800117,43.150841,11.064155,0.000000,26465.437500,14926.785156,16712.919922,7086.706543,0.000000,26465.437500,14926.785156,16712.919922,7086.706543,
