Time(s), Twind(°C), TMotCase(°C), Flat_i(N), Flat_o(N), Flat_r(N), Frad_i(N), Frad_o(N), Frad_r(N)
0.000000, 25.050648, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
11.063629, 25.187922, 25.000603, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 10.000000
15.438243, 25.371473, 25.002831, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 20.000000
18.605618, 25.593203, 25.007208, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000
21.169748, 25.849035, 25.014154, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 40.000000
23.357195, 26.136444, 25.024036, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 50.000000
25.282171, 26.113232, 25.037184, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 60.000000
27.123856, 26.090776, 25.049847, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 70.000000
29.012493, 26.069056, 25.062044, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 80.000000
30.952251, 26.048042, 25.073790, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 90.000000
32.946079, 26.027712, 25.085100, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 100.000000
34.991470, 26.008041, 25.095989, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000
37.077465, 25.989010, 25.106474, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 120.000000
39.184883, 25.970594, 25.116566, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 130.000000
41.288040, 25.952772, 25.126280, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 140.000000
43.359409, 25.935526, 25.135628, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000
45.375744, 25.918835, 25.144623, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 160.000000
47.321140, 25.902679, 25.153278, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 170.000000
49.187214, 25.887041, 25.161604, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 180.000000
50.971725, 25.871902, 25.169613, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 190.000000
52.676476, 25.857248, 25.177315, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 200.000000
54.305210, 25.843060, 25.184721, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 210.000000
55.862362, 25.829321, 25.191841, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 220.000000
57.352703, 25.816019, 25.198687, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 230.000000
58.781281, 25.803137, 25.205265, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 240.000000
60.153244, 25.790661, 25.211586, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 250.000000
61.473778, 25.778578, 25.217659, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 260.000000
62.748081, 25.766872, 25.223492, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 270.000000
