Time(s), Twind(°C), TMotCase(°C), Flat_i(N), Flat_o(N), Flat_r(N), Frad_i(N), Frad_o(N), Frad_r(N)
0.000000, 25.119879, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
8.582734, 25.357170, 25.001427, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 10.000000
12.033875, 25.651905, 25.005655, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 20.000000
14.585016, 25.992968, 25.013325, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000
16.680649, 26.374872, 25.024933, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 40.000000
18.489319, 26.794313, 25.040905, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 50.000000
20.096663, 26.757725, 25.061617, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 60.000000
21.636827, 26.722332, 25.081566, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 70.000000
23.207287, 26.688093, 25.100779, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 80.000000
24.810904, 26.654970, 25.119282, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 90.000000
26.449892, 26.622925, 25.137098, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 100.000000
28.123407, 26.591919, 25.154253, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000
29.826046, 26.561918, 25.170767, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 120.000000
31.547964, 26.532888, 25.186665, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 130.000000
33.274837, 26.504797, 25.201965, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 140.000000
34.989971, 26.477610, 25.216690, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000
36.678013, 26.451298, 25.230860, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 160.000000
38.327179, 26.425831, 25.244492, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 170.000000
39.929771, 26.401178, 25.257607, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 180.000000
41.481842, 26.377316, 25.270220, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 190.000000
42.982239, 26.354214, 25.282351, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 200.000000
44.431461, 26.331846, 25.294014, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 210.000000
45.830845, 26.310190, 25.305227, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 220.000000
47.182335, 26.289219, 25.316006, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 230.000000
48.488400, 26.268909, 25.326365, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 240.000000
49.751896, 26.249241, 25.336319, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 250.000000
50.975971, 26.230190, 25.345882, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 260.000000
52.164005, 26.211737, 25.355068, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 270.000000
53.319424, 26.193861, 25.363890, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 280.000000
