Time(s), Twind(°C), TMotCase(°C), Flat_i(N), Flat_o(N), Flat_r(N), Frad_i(N), Frad_o(N), Frad_r(N)
0.000000, 25.494368, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
5.438498, 26.123970, 25.005884, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 10.000000
7.692809, 26.810474, 25.019169, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 20.000000
9.424519, 27.541168, 25.040417, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000
10.885935, 28.309586, 25.070026, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 40.000000
12.174849, 29.039677, 25.108315, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 50.000000
13.345173, 28.957640, 25.154688, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 60.000000
14.475819, 28.878281, 25.199354, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 70.000000
15.622424, 28.801510, 25.242371, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 80.000000
16.787319, 28.727240, 25.283794, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 90.000000
17.972645, 28.655384, 25.323681, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 100.000000
19.179302, 28.585859, 25.362083, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000
20.406366, 28.518587, 25.399052, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 120.000000
21.651054, 28.453489, 25.434637, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 130.000000
22.907650, 28.390493, 25.468885, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 140.000000
24.167982, 28.329527, 25.501844, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000
25.423683, 28.270521, 25.533558, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 160.000000
26.667896, 28.213408, 25.564068, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 170.000000
27.895361, 28.158123, 25.593416, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 180.000000
29.102541, 28.104605, 25.621645, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 190.000000
30.287312, 28.052792, 25.648790, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 200.000000
31.448498, 28.002626, 25.674891, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 210.000000
32.585533, 27.954052, 25.699982, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 220.000000
33.698322, 27.907015, 25.724100, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 230.000000
34.787243, 27.861464, 25.747278, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 240.000000
35.853058, 27.817347, 25.769548, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 250.000000
36.896851, 27.774614, 25.790941, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 260.000000
37.919968, 27.733219, 25.811489, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 270.000000
38.923862, 27.693117, 25.831219, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 280.000000
39.909981, 27.654264, 25.850161, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 290.000000
40.879818, 27.616617, 25.868341, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 300.000000
41.835152, 27.580135, 25.885786, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 310.000000
42.778244, 27.544779, 25.902521, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 320.000000
43.711826, 27.510509, 25.918571, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 330.000000
44.638870, 27.477289, 25.933962, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 340.000000
45.562279, 27.445084, 25.948713, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 350.000000
46.485882, 27.413858, 25.962849, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 360.000000
47.408768, 27.383579, 25.976389, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 370.000000
48.333191, 27.354216, 25.989355, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 380.000000
49.259117, 27.325735, 26.001768, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 390.000000
50.186016, 27.298107, 26.013647, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 400.000000
51.113388, 27.271303, 26.025009, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 410.000000
52.041176, 27.245296, 26.035873, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 420.000000
52.969296, 27.220058, 26.046255, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 430.000000
53.898113, 27.195564, 26.056173, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 440.000000
54.828003, 27.171787, 26.065643, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 450.000000
55.759228, 27.148705, 26.074680, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 460.000000
56.692078, 27.126293, 26.083302, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 470.000000
57.626766, 27.104528, 26.091520, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 480.000000
58.563465, 27.083389, 26.099350, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 490.000000
59.502388, 27.062855, 26.106804, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000
60.443882, 27.042904, 26.113895, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 510.000000
61.388336, 27.023518, 26.120638, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 520.000000
62.336155, 27.004677, 26.127043, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 530.000000
63.287735, 26.986362, 26.133123, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 540.000000
64.243408, 26.968557, 26.138889, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 550.000000
65.203438, 26.951244, 26.144352, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 560.000000
66.168060, 26.934406, 26.149523, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 570.000000
67.137543, 26.918028, 26.154411, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 580.000000
68.112305, 26.902094, 26.159029, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 590.000000
69.092926, 26.886587, 26.163383, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 600.000000
70.080154, 26.871496, 26.167484, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 610.000000
71.075096, 26.856806, 26.171341, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 620.000000
72.079704, 26.842503, 26.174963, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 630.000000
73.097137, 26.828573, 26.178356, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 640.000000
74.131454, 26.815004, 26.181530, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 650.000000
75.186768, 26.801785, 26.184492, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 660.000000
76.266678, 26.788902, 26.187250, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 670.000000
77.373978, 26.776348, 26.189812, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 680.000000
78.510597, 26.764109, 26.192184, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 690.000000
79.677681, 26.752174, 26.194374, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 700.000000
80.875763, 26.740534, 26.196386, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 710.000000
82.104912, 26.729179, 26.198229, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 720.000000
83.364769, 26.718100, 26.199907, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 730.000000
84.653603, 26.707287, 26.201427, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 740.000000
85.967209, 26.696732, 26.202795, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 750.000000
87.299141, 26.686424, 26.204014, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 760.000000
88.642258, 26.676357, 26.205091, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 770.000000
89.990891, 26.666523, 26.206032, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 780.000000
91.342010, 26.656914, 26.206841, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 790.000000
92.695137, 26.647522, 26.207523, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 800.000000
94.051636, 26.638340, 26.208082, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 810.000000
95.413307, 26.629362, 26.208523, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 820.000000
96.780891, 26.620581, 26.208851, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 830.000000
98.153114, 26.611988, 26.209068, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 840.000000
99.527161, 26.603580, 26.209181, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 850.000000
100.900543, 26.595350, 26.209190, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 860.000000
102.271996, 26.587292, 26.209103, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 870.000000
103.641068, 26.579399, 26.208920, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 880.000000
105.007309, 26.571669, 26.208647, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 890.000000
106.369614, 26.564093, 26.208286, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 900.000000
