Time(s), Twind(°C), TMotCase(°C), Flat_i(N), Flat_o(N), Flat_r(N), Frad_i(N), Frad_o(N), Frad_r(N)
0.000000, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.484809, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 10.000000
2.998825, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 20.000000
4.542933, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000
6.117875, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 40.000000
7.724433, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 50.000000
9.363710, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 60.000000
11.037412, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 70.000000
12.748067, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 80.000000
14.498985, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 90.000000
16.292610, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 100.000000
18.127380, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000
19.995720, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 120.000000
21.884190, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 130.000000
23.774151, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 140.000000
25.644581, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000
27.476963, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 160.000000
29.257677, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 170.000000
30.978504, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 180.000000
32.635948, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 190.000000
34.229877, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 200.000000
35.761978, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 210.000000
37.234787, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 220.000000
38.651356, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 230.000000
40.015205, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 240.000000
41.330151, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 250.000000
42.600208, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 260.000000
43.829544, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 270.000000
45.022305, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 280.000000
46.182404, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 290.000000
47.313538, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 300.000000
48.419353, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 310.000000
49.503639, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 320.000000
50.570366, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 330.000000
51.623478, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 340.000000
52.666653, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 350.000000
53.703037, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 360.000000
54.735031, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 370.000000
55.764080, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 380.000000
56.790806, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 390.000000
57.815346, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 400.000000
58.837799, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 410.000000
59.858452, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 420.000000
60.877724, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 430.000000
61.896324, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 440.000000
62.914932, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 450.000000
63.934177, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 460.000000
64.954445, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 470.000000
65.976082, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 480.000000
66.999367, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 490.000000
68.024590, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000
69.052238, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 510.000000
70.082809, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 520.000000
71.116844, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 530.000000
72.154869, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 540.000000
73.197311, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 550.000000
74.244560, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 560.000000
75.296928, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 570.000000
76.354820, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 580.000000
77.418777, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 590.000000
78.489563, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 600.000000
79.568153, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 610.000000
80.655891, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 620.000000
81.754974, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 630.000000
82.868843, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 640.000000
84.001808, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 650.000000
85.158173, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 660.000000
86.341591, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 670.000000
87.554810, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 680.000000
88.799599, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 690.000000
90.076881, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 700.000000
91.386917, 25.000000, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 710.000000
92.729477, 25.445793, 25.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 720.000000
94.048561, 25.436491, 25.005306, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 730.000000
95.343697, 25.427494, 25.010418, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 740.000000
96.663605, 25.418791, 25.015343, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 750.000000
98.001793, 25.410372, 25.020086, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 760.000000
99.351082, 25.402227, 25.024654, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 770.000000
100.705727, 25.394348, 25.029053, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 780.000000
102.062759, 25.386724, 25.033289, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 790.000000
103.421608, 25.379349, 25.037367, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 800.000000
104.783646, 25.372213, 25.041292, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 810.000000
106.150703, 25.365309, 25.045071, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 820.000000
107.523499, 25.358625, 25.048708, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 830.000000
108.900780, 25.352158, 25.052208, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 840.000000
110.279839, 25.345898, 25.055576, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 850.000000
111.658020, 25.339840, 25.058817, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 860.000000
113.034103, 25.333975, 25.061934, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 870.000000
114.407761, 25.328299, 25.064932, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 880.000000
115.778465, 25.322803, 25.067816, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 890.000000
117.145149, 25.317482, 25.070587, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 900.000000
118.506126, 25.312330, 25.073252, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 910.000000
119.859444, 25.307341, 25.075813, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 920.000000
121.203339, 25.302509, 25.078276, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 930.000000
122.536621, 25.297831, 25.080641, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 940.000000
123.858757, 25.293299, 25.082914, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 950.000000
125.169739, 25.288908, 25.085096, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 960.000000
126.469933, 25.284655, 25.087193, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 970.000000
127.759888, 25.280535, 25.089205, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 980.000000
129.040237, 25.276543, 25.091137, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 990.000000
130.311630, 25.272675, 25.092991, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1000.000000
131.574768, 25.268925, 25.094769, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1010.000000
132.830383, 25.265291, 25.096474, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1020.000000
134.079178, 25.261768, 25.098110, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1030.000000
135.321823, 25.258352, 25.099678, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1040.000000
136.558899, 25.255041, 25.101181, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1050.000000
137.790863, 25.251831, 25.102621, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1060.000000
139.018066, 25.248718, 25.104000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1070.000000
140.240677, 25.245699, 25.105320, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1080.000000
141.458893, 25.242769, 25.106583, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1090.000000
142.672821, 25.239927, 25.107790, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1100.000000
143.882553, 25.237169, 25.108946, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1110.000000
145.087997, 25.234493, 25.110050, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1120.000000
146.289063, 25.231897, 25.111105, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1130.000000
147.485504, 25.229376, 25.112112, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1140.000000
148.676941, 25.226929, 25.113073, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1150.000000
149.863098, 25.224552, 25.113991, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1160.000000
151.043747, 25.222244, 25.114864, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1170.000000
152.218781, 25.220003, 25.115698, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1180.000000
153.388306, 25.217827, 25.116491, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1190.000000
154.553146, 25.215712, 25.117247, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1200.000000
155.715668, 25.213657, 25.117964, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1210.000000
156.880630, 25.211660, 25.118647, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1220.000000
158.055511, 25.209719, 25.119293, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1230.000000
159.250687, 25.207832, 25.119907, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1240.000000
160.479401, 25.205997, 25.120489, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1250.000000
