Time(s), Twind(°C), TMotCase(°C), Flat_i(N), Flat_o(N), Flat_r(N), Frad_i(N), Frad_o(N), Frad_r(N)
0.000000, 39.156456, 34.995625, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3.152533, 40.359848, 35.011227, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 15.000000
5.678452, 40.198647, 35.047161, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000
8.034887, 40.043388, 35.079506, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45.000000
10.464185, 39.893784, 35.108444, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 60.000000
12.971375, 39.749561, 35.134151, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 75.000000
15.562971, 39.610458, 35.156796, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 90.000000
18.247921, 39.476231, 35.176533, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 105.000000
21.031500, 39.346645, 35.193512, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 120.000000
23.879261, 39.221474, 35.207874, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 135.000000
26.742605, 39.100510, 35.219761, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000
29.550062, 38.983551, 35.229294, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 165.000000
32.243855, 38.870403, 35.236599, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 180.000000
34.799763, 38.760887, 35.241795, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 195.000000
37.207794, 38.654827, 35.244987, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 210.000000
39.475220, 38.552059, 35.246284, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 225.000000
41.611111, 38.452427, 35.245785, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 240.000000
43.628971, 38.355782, 35.243584, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 255.000000
45.541328, 38.261986, 35.239773, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 270.000000
47.363743, 38.170902, 35.234436, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 285.000000
49.109161, 38.082401, 35.227657, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 300.000000
50.791378, 37.996365, 35.219509, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 315.000000
52.422100, 37.912674, 35.210068, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 330.000000
54.015564, 37.831223, 35.199402, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 345.000000
55.584202, 37.751904, 35.187580, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 360.000000
57.137871, 37.674618, 35.174664, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 375.000000
58.684361, 37.599274, 35.160713, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 390.000000
60.225132, 37.525780, 35.145786, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 405.000000
61.761108, 37.454048, 35.129936, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 420.000000
63.293716, 37.384003, 35.113213, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 435.000000
64.824432, 37.315563, 35.095665, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 450.000000
66.355598, 37.248657, 35.077343, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 465.000000
67.889069, 37.183216, 35.058289, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 480.000000
69.425873, 37.119175, 35.038544, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 495.000000
70.967102, 37.056469, 35.018147, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 510.000000
72.514381, 36.995037, 34.997135, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 525.000000
74.069397, 36.934822, 34.975548, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 540.000000
75.633774, 36.875771, 34.953419, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 555.000000
77.209091, 36.817833, 34.930779, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 570.000000
78.796577, 36.760960, 34.907658, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 585.000000
80.397720, 36.705105, 34.884087, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 600.000000
82.015465, 36.650223, 34.860092, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 615.000000
83.653358, 36.596272, 34.835701, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 630.000000
85.320946, 36.543209, 34.810936, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 645.000000
87.029984, 36.491001, 34.785824, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 660.000000
