Time(s), Twind(°C), TMotCase(°C), Flat_i(N), Flat_o(N), Flat_r(N), Frad_i(N), Frad_o(N), Frad_r(N)
0.000000, 39.147747, 34.995625, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3.154112, 39.814266, 35.011078, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 15.000000
5.744956, 39.669506, 35.037636, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000
8.216212, 39.529907, 35.061100, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45.000000
10.770314, 39.395222, 35.081631, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 60.000000
13.413243, 39.265217, 35.099380, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 75.000000
16.152636, 39.139664, 35.114491, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 90.000000
18.998428, 39.018349, 35.127098, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 105.000000
21.956152, 38.901073, 35.137333, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 120.000000
24.983713, 38.787640, 35.145317, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 135.000000
28.022196, 38.677864, 35.151169, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000
30.988817, 38.571575, 35.155003, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 165.000000
33.818844, 38.468605, 35.156921, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 180.000000
36.488010, 38.368797, 35.157024, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 195.000000
38.988537, 38.271999, 35.155411, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 210.000000
41.331505, 38.178070, 35.152168, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 225.000000
43.529209, 38.086872, 35.147385, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 240.000000
45.598064, 37.998280, 35.141144, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 255.000000
47.552826, 37.912170, 35.133522, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 270.000000
49.411087, 37.828426, 35.124592, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 285.000000
51.187275, 37.746937, 35.114426, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 300.000000
52.896431, 37.667595, 35.103092, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 315.000000
54.551155, 37.590305, 35.090652, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 330.000000
56.166302, 37.514969, 35.077168, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 345.000000
57.754772, 37.441498, 35.062695, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 360.000000
59.326733, 37.369804, 35.047287, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 375.000000
60.890217, 37.299809, 35.030998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 390.000000
62.447041, 37.231430, 35.013878, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 405.000000
