Time(s), Twind(°C), TMotCase(°C), Flat_i(N), Flat_o(N), Flat_r(N), Frad_i(N), Frad_o(N), Frad_r(N)
0.000000, 37.939724, 34.997082, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.631268, 37.880600, 34.993519, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 10.000000
3.300508, 37.822590, 34.989330, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 20.000000
5.009262, 37.765663, 34.984543, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000
6.758908, 37.709785, 34.979176, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 40.000000
8.550875, 37.654922, 34.973248, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 50.000000
10.386973, 37.601040, 34.966782, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 60.000000
12.269707, 37.548111, 34.959797, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 70.000000
14.202574, 37.496105, 34.952312, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 80.000000
16.190090, 37.444996, 34.944344, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 90.000000
18.235481, 37.394753, 34.935909, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 100.000000
20.336050, 37.345348, 34.927029, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000
22.479860, 37.296757, 34.917717, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 120.000000
24.645935, 37.248955, 34.907990, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 130.000000
26.806343, 37.201920, 34.897861, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 140.000000
28.931364, 37.155624, 34.887348, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000
30.996231, 37.110050, 34.876465, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 160.000000
32.984367, 37.065170, 34.865223, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 170.000000
34.887432, 37.020969, 34.853638, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 180.000000
36.703667, 36.977421, 34.841724, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 190.000000
38.435528, 36.934509, 34.829491, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 200.000000
40.087437, 36.892216, 34.816952, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 210.000000
41.664433, 36.850517, 34.804119, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 220.000000
43.171803, 36.809399, 34.791004, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 230.000000
44.615047, 36.768845, 34.777615, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 240.000000
45.999710, 36.728836, 34.763966, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 250.000000
47.331306, 36.689358, 34.750065, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 260.000000
48.615318, 36.650394, 34.735924, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 270.000000
49.857037, 36.611927, 34.721550, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 280.000000
51.061363, 36.573944, 34.706955, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 290.000000
52.232807, 36.536430, 34.692146, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 300.000000
53.375687, 36.499374, 34.677132, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 310.000000
54.494331, 36.462761, 34.661919, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 320.000000
55.593132, 36.426579, 34.646519, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 330.000000
56.676376, 36.390812, 34.630939, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 340.000000
57.748035, 36.355453, 34.615185, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 350.000000
58.811474, 36.320488, 34.599266, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 360.000000
59.869274, 36.285904, 34.583187, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 370.000000
60.923092, 36.251694, 34.566956, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 380.000000
61.973690, 36.217842, 34.550579, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 390.000000
63.021366, 36.184341, 34.534065, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 400.000000
64.066345, 36.151184, 34.517418, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 410.000000
65.109001, 36.118359, 34.500641, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 420.000000
66.149971, 36.085854, 34.483746, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 430.000000
67.190125, 36.053665, 34.466732, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 440.000000
68.230324, 36.021778, 34.449608, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 450.000000
69.270760, 35.990189, 34.432381, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 460.000000
70.312080, 35.958889, 34.415051, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 470.000000
71.354683, 35.927868, 34.397625, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 480.000000
72.398956, 35.897121, 34.380108, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 490.000000
73.445183, 35.866642, 34.362507, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 500.000000
74.493912, 35.836422, 34.344822, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 510.000000
75.545601, 35.806454, 34.327061, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 520.000000
76.600891, 35.776730, 34.309227, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 530.000000
77.660324, 35.747246, 34.291321, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 540.000000
78.724388, 35.717991, 34.273350, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 550.000000
79.793488, 35.688965, 34.255318, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 560.000000
80.867973, 35.660160, 34.237225, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 570.000000
81.948257, 35.631569, 34.219078, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 580.000000
83.034943, 35.603188, 34.200878, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 590.000000
84.128860, 35.575012, 34.182632, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 600.000000
85.231041, 35.547035, 34.164341, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 610.000000
86.342918, 35.519253, 34.146004, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 620.000000
87.466774, 35.491661, 34.127628, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 630.000000
88.606171, 35.464252, 34.109215, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 640.000000
89.765549, 35.437027, 34.090767, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 650.000000
90.949326, 35.409977, 34.072289, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 660.000000
92.161263, 35.383099, 34.053780, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 670.000000
93.404160, 35.356388, 34.035244, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 680.000000
94.679810, 35.329842, 34.016685, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 690.000000
95.989128, 35.303455, 33.998104, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 700.000000
97.332321, 35.277229, 33.979500, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 710.000000
98.709114, 35.251156, 33.960880, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 720.000000
100.118729, 35.225231, 33.942245, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 730.000000
101.558807, 35.199451, 33.923595, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 740.000000
103.024178, 35.173817, 33.904934, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 750.000000
104.507133, 35.148323, 33.886261, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 760.000000
105.999237, 35.122967, 33.867580, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 770.000000
107.493568, 35.097744, 33.848892, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 780.000000
108.986580, 35.072651, 33.830200, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 790.000000
110.477318, 35.047688, 33.811504, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 800.000000
111.967072, 35.022850, 33.792805, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 810.000000
113.458092, 34.998135, 33.774105, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 820.000000
114.951202, 34.973541, 33.755405, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 830.000000
116.445160, 34.949066, 33.736710, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 840.000000
117.937416, 34.924706, 33.718018, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 850.000000
119.425560, 34.900459, 33.699329, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 860.000000
120.908768, 34.876328, 33.680649, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 870.000000
122.387177, 34.852303, 33.661972, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 880.000000
123.860596, 34.828384, 33.643307, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 890.000000
125.327896, 34.804573, 33.624649, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 900.000000
126.787155, 34.780865, 33.606003, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 910.000000
128.236069, 34.757259, 33.587368, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 920.000000
129.672577, 34.733753, 33.568745, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 930.000000
131.095352, 34.710346, 33.550137, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 940.000000
132.503830, 34.687035, 33.531540, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 950.000000
133.898132, 34.663818, 33.512959, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 960.000000
