Time(s), Twind(°C), TMotCase(°C), Flat_i(N), Flat_o(N), Flat_r(N), Frad_i(N), Frad_o(N), Frad_r(N)
0.000000, 39.226139, 34.995747, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.086401, 40.400127, 35.012077, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 15.000000
3.866779, 40.242249, 35.047668, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000
5.553762, 40.090038, 35.079834, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45.000000
7.271721, 39.943233, 35.108742, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 60.000000
9.024253, 39.801575, 35.134556, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 75.000000
10.816434, 40.072857, 35.157429, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 90.000000
12.672994, 40.358768, 35.184330, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 105.000000
14.672289, 40.566078, 35.215416, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 120.000000
16.781750, 41.825211, 35.249275, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 135.000000
18.710480, 41.632526, 35.303429, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000
20.481247, 41.447075, 35.353165, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 165.000000
22.240511, 41.268513, 35.398697, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 180.000000
23.972052, 41.096519, 35.440239, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 195.000000
25.663610, 40.930782, 35.477985, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 210.000000
27.311281, 40.771008, 35.512123, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 225.000000
28.912813, 40.616913, 35.542835, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 240.000000
30.469593, 41.015583, 35.570293, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 255.000000
32.025234, 41.324352, 35.603806, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 270.000000
33.587944, 41.156731, 35.641735, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 285.000000
35.114998, 40.995132, 35.676022, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 300.000000
36.603951, 40.839275, 35.706848, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 315.000000
38.061443, 40.688889, 35.734386, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 330.000000
39.499428, 40.543713, 35.758804, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 345.000000
40.929138, 40.403507, 35.780254, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 360.000000
42.359371, 40.782097, 35.798885, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 375.000000
43.801174, 40.636082, 35.823429, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 390.000000
