Time(s), Twind(°C), TMotCase(°C), Flat_i(N), Flat_o(N), Flat_r(N), Frad_i(N), Frad_o(N), Frad_r(N)
0.000000, 37.909584, 34.995625, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3.067916, 37.821762, 34.989792, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 15.000000
6.273515, 37.736412, 34.982582, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000
9.536640, 37.653416, 34.974072, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45.000000
12.762648, 37.572662, 34.964329, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 60.000000
15.866357, 37.494049, 34.953419, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 75.000000
18.789856, 37.417477, 34.941406, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 90.000000
21.540167, 37.342850, 34.928352, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 105.000000
24.130909, 37.270081, 34.914310, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 120.000000
26.582476, 37.199081, 34.899338, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 135.000000
28.911081, 37.129768, 34.883488, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000
31.129992, 37.062069, 34.866806, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 165.000000
33.251789, 36.995907, 34.849339, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 180.000000
35.298203, 36.931213, 34.831135, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 195.000000
37.286945, 36.867920, 34.812233, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 210.000000
39.228813, 36.805965, 34.792675, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 225.000000
41.131409, 36.745289, 34.772495, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 240.000000
42.999596, 36.685833, 34.751732, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 255.000000
44.839142, 36.627541, 34.730419, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 270.000000
46.661495, 36.570362, 34.708591, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 285.000000
48.477459, 36.514252, 34.686279, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 300.000000
50.286907, 36.459160, 34.663509, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 315.000000
52.089069, 36.405041, 34.640312, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 330.000000
53.889992, 36.351852, 34.616711, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 345.000000
55.694088, 36.299557, 34.592735, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 360.000000
57.499104, 36.248116, 34.568405, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 375.000000
59.303780, 36.197491, 34.543747, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 390.000000
61.115246, 36.962765, 34.518780, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 405.000000
62.887089, 37.480412, 34.507538, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 420.000000
64.588394, 37.719685, 34.505451, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 435.000000
66.256615, 37.622810, 34.507523, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 450.000000
67.927902, 37.528919, 34.507885, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 465.000000
69.619781, 37.437870, 34.506622, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 480.000000
71.330513, 37.349525, 34.503822, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 495.000000
