Time(s), Twind(°C), TMotCase(°C), Flat_i(N), Flat_o(N), Flat_r(N), Frad_i(N), Frad_o(N), Frad_r(N)
0.000000, 40.244991, 34.995453, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
6.829458, 40.589260, 35.031097, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 15.000000
9.989809, 40.415283, 35.072044, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000
12.996565, 40.248032, 35.108917, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45.000000
16.144949, 40.087170, 35.141930, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 60.000000
19.449230, 39.932377, 35.171291, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 75.000000
22.927412, 39.783348, 35.197193, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 90.000000
26.599810, 39.639797, 35.219822, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 105.000000
30.477774, 39.501446, 35.239353, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 120.000000
34.464058, 39.368038, 35.255951, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 135.000000
38.422375, 39.239326, 35.269772, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000
42.192097, 39.115074, 35.280968, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 165.000000
45.672668, 38.995060, 35.289680, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 180.000000
48.854263, 38.879078, 35.296047, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 195.000000
51.752987, 38.766926, 35.300190, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 210.000000
54.408024, 38.658413, 35.302235, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 225.000000
56.852287, 38.553360, 35.302292, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 240.000000
59.118744, 38.451599, 35.300472, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 255.000000
61.233829, 38.352966, 35.296879, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 270.000000
63.224846, 38.257305, 35.291611, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 285.000000
65.112961, 38.164474, 35.284760, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 300.000000
66.918602, 38.074337, 35.276413, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 315.000000
68.658066, 37.986759, 35.266655, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 330.000000
70.348732, 37.901615, 35.255562, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 345.000000
72.005234, 37.818790, 35.243214, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 360.000000
73.638977, 37.738171, 35.229679, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 375.000000
75.259041, 37.659653, 35.215023, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 390.000000
76.868248, 37.583134, 35.199314, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 405.000000
78.468681, 37.508518, 35.182610, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 420.000000
80.062691, 37.435715, 35.164967, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 435.000000
81.652725, 37.364639, 35.146442, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 450.000000
83.241409, 37.295208, 35.127087, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 465.000000
84.830910, 37.227345, 35.106949, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 480.000000
86.422623, 37.160973, 35.086079, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 495.000000
88.017868, 37.096027, 35.064518, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 510.000000
89.618332, 37.032440, 35.042305, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 525.000000
91.225922, 36.970146, 35.019482, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 540.000000
92.842468, 36.909088, 34.996090, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 555.000000
94.469696, 36.849209, 34.972160, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 570.000000
96.109001, 36.790455, 34.947727, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 585.000000
97.762009, 36.732777, 34.922825, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 600.000000
99.431923, 36.676125, 34.897480, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 615.000000
101.122589, 36.620449, 34.871723, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 630.000000
102.843872, 36.565712, 34.845581, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 645.000000
104.607803, 36.511871, 34.819080, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 660.000000
106.427635, 36.458885, 34.792248, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 675.000000
108.316254, 36.406719, 34.765102, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 690.000000
110.278038, 36.355335, 34.737671, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 705.000000
112.315895, 36.304699, 34.709969, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 720.000000
114.427895, 36.254784, 34.682018, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 735.000000
116.609467, 36.205555, 34.653839, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 750.000000
118.839417, 36.156982, 34.625446, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 765.000000
121.092743, 36.109043, 34.596859, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 780.000000
123.351440, 36.061710, 34.568092, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 795.000000
125.602638, 36.014957, 34.539162, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 810.000000
127.851540, 35.968761, 34.510082, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 825.000000
130.102890, 35.923103, 34.480865, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 840.000000
132.350922, 38.359196, 34.451523, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 855.000000
134.371826, 38.236881, 34.466370, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 870.000000
136.210312, 38.118858, 34.478683, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 885.000000
138.047607, 38.004917, 34.488598, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 900.000000
139.879898, 37.894852, 34.496243, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 915.000000
141.702667, 37.788471, 34.501740, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 930.000000
143.511871, 37.685593, 34.505207, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 945.000000
145.304428, 37.586044, 34.506756, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 960.000000
147.080444, 37.489658, 34.506493, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 975.000000
148.840439, 37.396282, 34.504513, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 990.000000
150.585846, 37.305767, 34.500916, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1005.000000
152.318161, 37.217972, 34.495785, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1020.000000
154.039093, 37.132763, 34.489208, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1035.000000
155.750275, 37.050014, 34.481266, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1050.000000
157.453018, 36.969608, 34.472034, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1065.000000
159.148483, 36.891430, 34.461586, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1080.000000
160.837173, 36.815372, 34.449989, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1095.000000
162.519455, 36.741333, 34.437309, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1110.000000
