Time(s), Twind(°C), TMotCase(°C), Flat_i(N), Flat_o(N), Flat_r(N), Frad_i(N), Frad_o(N), Frad_r(N)
0.000000, 37.906097, 34.995453, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.381539, 37.814991, 34.989338, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 15.000000
4.842990, 37.726543, 34.981743, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000
7.388608, 37.640629, 34.972748, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45.000000
10.022751, 37.557121, 34.962433, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 60.000000
12.751932, 37.475903, 34.950871, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 75.000000
15.584419, 37.396866, 34.938129, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 90.000000
18.530563, 37.319904, 34.924278, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 105.000000
21.595741, 37.244919, 34.909382, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 120.000000
24.732533, 37.171814, 34.893501, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 135.000000
27.875206, 37.100498, 34.876690, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000
30.934280, 37.030891, 34.859001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 165.000000
33.841553, 36.962910, 34.840488, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 180.000000
36.573441, 36.896477, 34.821201, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 195.000000
39.124027, 36.831516, 34.801186, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 210.000000
41.506973, 36.767963, 34.780483, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 225.000000
43.736637, 36.705753, 34.759136, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 240.000000
45.831219, 36.644821, 34.737183, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 255.000000
47.806793, 36.585110, 34.714661, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 270.000000
49.682098, 36.526562, 34.691605, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 285.000000
51.472397, 36.469124, 34.668049, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 300.000000
53.193394, 36.412746, 34.644028, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 315.000000
54.858154, 36.357384, 34.619568, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 330.000000
56.481804, 36.302986, 34.594696, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 345.000000
58.077400, 36.249516, 34.569443, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 360.000000
59.655224, 36.196926, 34.543835, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 375.000000
61.223396, 36.145184, 34.517891, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 390.000000
62.783897, 36.094246, 34.491638, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 405.000000
64.338020, 36.044083, 34.465099, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 420.000000
65.887466, 35.994659, 34.438290, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 435.000000
67.434120, 35.945942, 34.411232, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 450.000000
