Time(s), Twind(°C), TMotCase(°C), Flat_i(N), Flat_o(N), Flat_r(N), Frad_i(N), Frad_o(N), Frad_r(N)
0.000000, 37.912094, 34.995747, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.381539, 37.826641, 34.990116, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 15.000000
4.842990, 37.743526, 34.983181, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000
7.388608, 37.662643, 34.975014, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45.000000
10.022751, 37.583893, 34.965675, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 60.000000
12.751932, 37.507175, 34.955227, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 75.000000
15.584419, 37.432400, 34.943726, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 90.000000
18.530563, 37.359478, 34.931232, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 105.000000
21.595741, 37.288326, 34.917797, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 120.000000
24.732533, 37.218864, 34.903469, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 135.000000
27.875206, 37.151020, 34.888298, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000
30.934280, 37.084721, 34.872330, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 165.000000
33.841553, 37.019894, 34.855606, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 180.000000
36.573441, 36.956478, 34.838169, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 195.000000
39.124027, 36.894409, 34.820057, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 210.000000
41.506973, 36.833626, 34.801311, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 225.000000
43.736637, 36.774075, 34.781963, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 240.000000
