Time(s), Twind(°C), TMotCase(°C), Flat_i(N), Flat_o(N), Flat_r(N), Frad_i(N), Frad_o(N), Frad_r(N)
0.000000, 37.912094, 34.995747, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.381539, 38.132389, 34.990116, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 15.000000
4.841354, 38.040318, 34.988293, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000
7.383425, 37.950890, 34.984970, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45.000000
10.013688, 37.863983, 34.980228, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 60.000000
12.738612, 37.779484, 34.974136, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 75.000000
15.566419, 37.697285, 34.966770, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 90.000000
18.507420, 37.617275, 34.958191, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 105.000000
21.566978, 37.539360, 34.948467, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 120.000000
24.697931, 37.463444, 34.937656, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 135.000000
27.834961, 37.625671, 34.925816, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000
30.887121, 37.546562, 34.916946, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 165.000000
33.786919, 37.469509, 34.906952, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 180.000000
36.512707, 37.394421, 34.895893, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 195.000000
39.058395, 37.621220, 34.883823, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 210.000000
41.437214, 37.541012, 34.875813, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 225.000000
43.663380, 37.462917, 34.866638, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 240.000000
45.755104, 37.752869, 34.856361, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 255.000000
47.724163, 37.667995, 34.851158, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 270.000000
49.590256, 37.585457, 34.844650, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 285.000000
51.372681, 37.505146, 34.836906, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 300.000000
53.086815, 37.426964, 34.827995, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 315.000000
54.745476, 37.350811, 34.817974, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 330.000000
56.363628, 37.276596, 34.806900, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 345.000000
57.954208, 37.204231, 34.794830, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 360.000000
59.527412, 37.133633, 34.781822, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 375.000000
61.091301, 37.064720, 34.767921, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 390.000000
