Time(s), Twind(°C), TMotCase(°C), Flat_i(N), Flat_o(N), Flat_r(N), Frad_i(N), Frad_o(N), Frad_r(N)
0.000000, 37.909584, 34.995625, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.545722, 37.821762, 34.989792, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 15.000000
5.188962, 37.736412, 34.982582, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000
7.936244, 37.653416, 34.974072, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45.000000
10.794502, 37.572662, 34.964329, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 60.000000
13.773130, 37.494049, 34.953419, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 75.000000
16.883942, 37.417477, 34.941406, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 90.000000
20.140907, 37.342850, 34.928352, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 105.000000
23.551432, 37.270081, 34.914310, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 120.000000
27.049585, 37.199081, 34.899338, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 135.000000
30.543411, 37.129768, 34.883488, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000
33.915058, 37.062069, 34.866806, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 165.000000
37.081249, 36.995907, 34.849339, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 180.000000
40.021313, 36.931213, 34.831135, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 195.000000
42.736660, 36.867920, 34.812233, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 210.000000
45.250790, 36.805965, 34.792675, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 225.000000
47.585621, 36.745289, 34.772495, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 240.000000
49.765675, 36.685833, 34.751732, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 255.000000
51.811596, 36.627541, 34.730419, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 270.000000
53.746044, 36.570362, 34.708591, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 285.000000
55.587032, 36.514252, 34.686279, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 300.000000
57.352520, 36.459160, 34.663509, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 315.000000
59.057144, 36.405041, 34.640312, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 330.000000
60.717190, 36.351852, 34.616711, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 345.000000
62.346542, 36.299557, 34.592735, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 360.000000
63.956112, 36.248116, 34.568405, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 375.000000
65.554543, 36.197491, 34.543747, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 390.000000
67.144180, 36.147648, 34.518780, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 405.000000
68.726692, 36.098557, 34.493523, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 420.000000
70.304092, 36.050182, 34.467999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 435.000000
71.878601, 36.002499, 34.442226, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 450.000000
73.452599, 35.955475, 34.416222, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 465.000000
75.028320, 35.909084, 34.389999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 480.000000
76.607048, 35.863300, 34.363579, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 495.000000
78.189926, 35.818100, 34.336971, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 510.000000
79.778717, 35.773460, 34.310192, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 525.000000
81.375267, 35.729359, 34.283257, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 540.000000
82.981384, 35.685776, 34.256176, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 555.000000
84.598763, 35.642689, 34.228966, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 570.000000
86.228760, 35.600082, 34.201633, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 585.000000
87.872993, 35.557934, 34.174191, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 600.000000
89.534645, 35.516232, 34.146648, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 615.000000
91.217575, 35.474953, 34.119019, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 630.000000
92.931648, 35.434086, 34.091309, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 645.000000
94.688988, 35.710629, 34.063526, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 660.000000
96.484673, 36.330471, 34.041130, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 675.000000
98.268387, 36.542454, 34.029900, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 690.000000
100.060875, 36.466728, 34.022572, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 705.000000
101.926140, 36.393066, 34.014107, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 720.000000
