Time(s), Twind(°C), TMotCase(°C), Flat_i(N), Flat_o(N), Flat_r(N), Frad_i(N), Frad_o(N), Frad_r(N)
0.000000, 38.932945, 34.995453, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
6.829458, 39.429825, 35.007671, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 15.000000
9.851788, 39.291405, 35.028473, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 30.000000
12.614718, 39.157970, 35.046310, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45.000000
15.488923, 39.029270, 35.061344, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 60.000000
18.483768, 38.905067, 35.073723, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 75.000000
21.611029, 38.785141, 35.083591, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 90.000000
24.884434, 38.669277, 35.091087, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 105.000000
28.310982, 38.557274, 35.096336, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 120.000000
31.823591, 38.448940, 35.099461, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 135.000000
35.329155, 38.344097, 35.100578, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000
38.709717, 38.242573, 35.099796, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 165.000000
41.882339, 38.144199, 35.097221, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 180.000000
44.826904, 38.048824, 35.092949, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 195.000000
47.545303, 37.956303, 35.087074, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 210.000000
50.061409, 37.866493, 35.079689, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 225.000000
52.397400, 37.779263, 35.070873, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 240.000000
54.577965, 37.694485, 35.060711, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 255.000000
56.623878, 37.612045, 35.049274, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 270.000000
58.557877, 37.531826, 35.036636, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 285.000000
60.398029, 37.453724, 35.022865, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 300.000000
62.162323, 37.377636, 35.008026, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 315.000000
63.865406, 37.303463, 34.992180, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 330.000000
65.523506, 37.231117, 34.975384, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 345.000000
67.150467, 37.160511, 34.957695, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 360.000000
68.757141, 37.091560, 34.939163, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 375.000000
70.352127, 37.024189, 34.919838, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 390.000000
71.937805, 36.958321, 34.899769, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 405.000000
73.515884, 36.893887, 34.878998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 420.000000
75.088333, 36.830818, 34.857567, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 435.000000
76.657364, 36.769054, 34.835518, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 450.000000
78.225525, 36.708530, 34.812889, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 465.000000
79.794914, 36.649193, 34.789715, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 480.000000
81.366684, 36.590988, 34.766029, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 495.000000
82.942009, 36.533863, 34.741863, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 510.000000
84.522636, 36.477772, 34.717251, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 525.000000
86.110451, 36.422665, 34.692219, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 540.000000
87.707130, 36.368500, 34.666794, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 555.000000
89.314339, 36.315235, 34.641006, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 570.000000
90.933395, 36.262829, 34.614876, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 585.000000
92.565895, 36.211246, 34.588428, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 600.000000
94.214897, 36.160450, 34.561687, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 615.000000
95.884132, 36.110405, 34.534672, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 630.000000
97.583282, 36.061081, 34.507401, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 645.000000
99.324196, 36.012447, 34.479897, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 660.000000
101.120064, 35.964478, 34.452175, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 675.000000
102.983688, 35.917141, 34.424252, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 690.000000
104.919556, 35.870411, 34.396145, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 705.000000
106.930717, 35.824265, 34.367867, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 720.000000
109.015434, 35.778679, 34.339436, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 735.000000
111.169380, 35.733627, 34.310863, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 750.000000
113.371826, 35.689095, 34.282162, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 765.000000
115.598282, 35.645058, 34.253345, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 780.000000
117.831116, 35.601494, 34.224422, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 795.000000
120.057777, 35.558392, 34.195408, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 810.000000
122.283546, 35.515728, 34.166309, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 825.000000
124.512939, 35.473488, 34.137138, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 840.000000
126.740112, 35.431660, 34.107903, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 855.000000
128.958374, 35.390224, 34.078613, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 870.000000
131.166168, 35.349171, 34.049278, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 885.000000
133.362595, 35.308483, 34.019905, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 900.000000
135.542618, 35.268150, 33.990498, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 915.000000
137.700562, 35.228157, 33.961067, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 930.000000
139.830643, 35.188496, 33.931618, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 945.000000
141.928726, 35.149155, 33.902157, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 960.000000
143.995819, 35.110123, 33.872692, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 975.000000
146.033417, 35.071388, 33.843227, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 990.000000
148.044403, 35.032944, 33.813770, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1005.000000
150.031540, 34.994781, 33.784325, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1020.000000
151.997894, 34.956894, 33.754894, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1035.000000
153.946274, 34.919270, 33.725483, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1050.000000
155.878860, 35.463474, 33.696095, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1065.000000
157.729431, 35.408154, 33.677120, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1080.000000
159.506317, 35.353970, 33.657604, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1095.000000
161.274506, 35.300873, 33.637585, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1110.000000
163.034073, 35.248810, 33.617088, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1125.000000
164.784943, 35.197735, 33.596149, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1140.000000
166.526276, 35.147602, 33.574795, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1155.000000
168.257187, 35.098370, 33.553051, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1170.000000
169.977127, 35.049999, 33.530941, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1185.000000
171.685867, 35.002449, 33.508492, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1200.000000
173.388748, 34.955685, 33.485725, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1215.000000
175.093765, 34.909672, 33.462662, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1230.000000
176.828369, 34.864380, 33.439323, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1245.000000
178.626556, 34.819775, 33.415726, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1260.000000
180.540512, 34.775826, 33.391891, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1275.000000
182.650055, 36.056095, 33.367836, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1290.000000
184.802307, 37.361462, 33.367210, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1305.000000
186.820007, 38.688362, 33.389904, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1320.000000
188.747208, 39.958603, 33.435753, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1335.000000
190.617447, 41.176079, 33.503193, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1350.000000
192.449722, 41.988155, 33.590775, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1365.000000
194.280853, 43.194298, 33.690784, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1380.000000
196.107483, 42.896828, 33.809959, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1395.000000
198.049301, 42.612396, 33.921005, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1410.000000
200.325104, 42.340343, 34.024345, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1425.000000
203.112534, 42.080044, 34.120380, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1440.000000
206.610657, 41.830894, 34.209496, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1455.000000
211.051270, 41.592335, 34.292053, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1470.000000
216.004715, 41.363827, 34.368401, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1485.000000
220.495667, 41.144859, 34.438858, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1500.000000
224.229935, 40.934952, 34.503738, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1515.000000
227.298737, 40.733646, 34.563339, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1530.000000
229.985519, 40.540508, 34.617935, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1545.000000
232.436996, 40.355125, 34.667789, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1560.000000
234.764023, 40.177105, 34.713154, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1575.000000
237.037399, 40.006077, 34.754265, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1590.000000
239.291672, 39.841690, 34.791351, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1605.000000
241.551758, 39.683609, 34.824623, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1620.000000
